Player,Pos,Age,Tm,G,TRB,AST,STL,BLK,TOV,PTS,ALL-STAR
Steven Adams\adamsst01,C,26,OKC,63,9.3,2.3,0.8,1.1,1.5,10.9,0
Bam Adebayo\adebaba01,PF,22,MIA,72,10.2,5.1,1.1,1.3,2.8,15.9,1
LaMarcus Aldridge\aldrila01,C,34,SAS,53,7.4,2.4,0.7,1.6,1.4,18.9,0
Kyle Alexander\alexaky01,C,23,MIA,2,1.5,0,0,0,0.5,1,0
Nickeil Alexander-Walker\alexani01,SG,21,NOP,47,1.8,1.9,0.4,0.2,1.1,5.7,0
Grayson Allen\allengr01,SG,24,MEM,38,2.2,1.4,0.3,0.1,0.9,8.7,0
Jarrett Allen\allenja01,C,21,BRK,70,9.6,1.6,0.6,1.3,1.1,11.1,0
Kadeem Allen\allenka01,PG,27,NYK,10,0.9,2.1,0.5,0.2,0.8,5,0
Al-Farouq Aminu\aminual01,PF,29,ORL,18,4.8,1.2,1,0.4,0.9,4.3,0
Justin Anderson\anderju01,SG,26,BRK,10,2.1,0.8,0,0.6,0.4,2.8,0
Kyle Anderson\anderky01,SF,26,MEM,67,4.3,2.4,0.8,0.6,1,5.8,0
Ryan Anderson\anderry01,C,31,HOU,2,3.5,1,0.5,0,0.5,2.5,0
Giannis Antetokounmpo\antetgi01,PF,25,MIL,63,13.6,5.6,1,1,3.7,29.5,1
Kostas Antetokounmpo\antetko01,PF,22,LAL,5,0.6,0.4,0,0,0.2,1.4,0
Thanasis Antetokounmpo\antetth01,SF,27,MIL,20,1.2,0.8,0.4,0.1,0.6,2.8,0
Carmelo Anthony\anthoca01,PF,35,POR,58,6.3,1.5,0.8,0.5,1.7,15.4,0
OG Anunoby\anunoog01,SF,22,TOR,69,5.3,1.6,1.4,0.7,1.1,10.6,0
Ryan Arcidiacono\arcidry01,PG,25,CHI,58,1.9,1.7,0.5,0.1,0.6,4.5,0
Trevor Ariza\arizatr01,SF,34,TOT,53,4.6,1.7,1.3,0.3,1.1,8,0
Trevor Ariza\arizatr01,SF,34,SAC,32,4.6,1.6,1.1,0.2,0.9,6,0
Trevor Ariza\arizatr01,SF,34,POR,21,4.8,2,1.6,0.4,1.3,11,0
D.J. Augustin\augusdj01,PG,32,ORL,57,2.1,4.6,0.6,0,1.5,10.5,0
Deandre Ayton\aytonde01,C,21,PHO,38,11.5,1.9,0.7,1.5,2.1,18.2,0
Dwayne Bacon\bacondw01,SG,24,CHO,39,2.6,1.3,0.6,0.1,0.9,5.7,0
Marvin Bagley III\baglema01,C,20,SAC,13,7.5,0.8,0.5,0.9,1.4,14.2,0
Lonzo Ball\balllo01,PG,22,NOP,63,6.1,7,1.4,0.6,3.1,11.8,0
Mo Bamba\bambamo01,C,21,ORL,62,4.9,0.7,0.4,1.4,0.7,5.4,0
J.J. Barea\bareajo01,PG,35,DAL,29,1.8,3.9,0.2,0.1,1.3,7.7,0
Harrison Barnes\barneha02,PF,27,SAC,72,4.9,2.2,0.6,0.2,1.2,14.5,0
RJ Barrett\barrerj01,SG,19,NYK,56,5,2.6,1,0.3,2.2,14.3,0
Will Barton\bartowi01,SF,29,DEN,58,6.3,3.7,1.1,0.5,1.5,15.1,0
Keita Bates-Diop\bateske01,PF-SF,24,TOT,44,2.9,0.7,0.4,0.5,0.4,6.5,0
Keita Bates-Diop\bateske01,PF,24,MIN,37,3,0.8,0.5,0.5,0.4,6.8,0
Keita Bates-Diop\bateske01,SF,24,DEN,7,2.4,0,0.3,0.6,0.4,5.3,0
Nicolas Batum\batumni01,SF,31,CHO,22,4.5,3,0.8,0.4,1,3.6,0
Aron Baynes\baynear01,C,33,PHO,42,5.6,1.6,0.2,0.5,1.2,11.5,0
Kent Bazemore\bazemke01,SF,30,TOT,68,4.3,1.4,1.1,0.6,1.3,8.8,0
Kent Bazemore\bazemke01,SF,30,POR,43,4,1.4,1,0.7,1.4,7.9,0
Kent Bazemore\bazemke01,SF,30,SAC,25,4.9,1.3,1.2,0.4,1.2,10.3,0
Darius Bazley\bazleda01,PF,19,OKC,61,4,0.7,0.4,0.7,0.7,5.6,0
Bradley Beal\bealbr01,SG,26,WAS,57,4.2,6.1,1.2,0.4,3.4,30.5,0
